F:ANNZ_PDF_sam_0
0.23618
0.24623
0.27638
0.34673
0.17085
0.19598
0.25628
0.12563
0.21106
0.27638
0.09045
0.22111
0.13065
0.46734
0.1407
0.27638
0.30151
0.16583
0.17085
0.31156
0.37688
0.06533
0.0603
0.23116
0.1407
0.39698
0.1809
0.35176
0.33166
0.28141
0.29146
0.50251
0.36683
0.11055
0.10553
0.28141
0.42714
0.26633
0.24121
0.20603
0.25628
0.31156
0.26633
0.14573
0.12563
0.13568
0.19598
0.21106
0.1407
0.1407
0.23618
0.15075
0.38191
0.1809
0.17588
0.1407
0.1206
0.15578
0.09045
0.44724
0.1608
0.34171
0.1608
0.04523
0.06533
0.27136
0.30151
0.11558
0.23618
0.17085
0.29648
0.15075
0.07035
0.15075
0.22613
0.22613
0.05025
0.22111
0.19598
0.28141
0.08543
0.13568
0.1608
0.38693
0.21608
0.1407
0.17085
0.18593
0.21608
0.21608
0.1407
0.19598
0.29648
0.17085
0.17085
0.26633
0.0402
0.1407
0.15075
0.25628
0.18593
0.14573
0.24121
0.29146
0.15075
0.35176
0.06533
0.20101
0.20603
0.07538
0.19095
0.23618
0.20101
0.17588
0.09548
0.0402
0.0603
0.26131
0.23618
0.32663
0.37688
0.29146
0.17085
0.35678
0.14573
0.29146
0.16583
0.24623
0.24623
0.32663
0.09045
0.28141
0.22111
0.24121
0.19598
0.20603
0.13568
0.0804
0.30151
0.07035
0.15075
0.25126
0.36683
0.15578
0.20101
0.26633
0.1407
0.0804
0.15075
0.23618
0.27136
0.31658
0.24121
0.27136
0.19598
0.29146
0.27136
0.11055
0.17588
0.35176
0.29146
0.08543
0.20101
0.02513
0.05025
0.1407
0.22613
0.24623
0.1206
0.26633
0.25628
0.23618
0.32663
0.23618
0.21106
0.27136
0.26131
0.32663
0.1809
0.26633
0.24623
0.34171
0.20603
0.32663
0.18593
0.25628
0.29648
0.24623
0.15578
0.32161
0.05528
0.32663
0.22613
0.25628
0.23618
0.1608
0.1407
0.17085
0.24121
0.20101
0.1206
0.32663
0.08543
0.09045
0.40201
0.1005
0.19095
0.1809
0.33166
0.30151
0.1809
0.28643
0.15075
0.21608
0.15075
0.20603
0.19095
0.13568
0.28141
0.20101
0.13568
0.0804
0.20101
0.13568
0.20603
0.1809
0.31156
0.23618
0.11558
0.28643
0.22613
0.31658
0.32161
0.14573
0.30151
0.22613
0.1608
0.06533
0.15578
0.09045
0.17085
0.36683
0.23116
0.33166
0.1005
0.12563
0.17085
0.26633
0.29648
0.13568
0.26131
0.39196
0.30653
0.39698
0.23618
0.29146
0.21106
0.11558
0.14573
0.37186
0.19095
0.22613
0.29146
0.35176
0.38191
0.26633
0.21106
0.31156
0.26131
0.09548
0.05025
0.31658
0.25126
0.37186
0.27638
0.28141
0.29648
0.26633
0.22613
0.20603
0.09548
0.1407
0.0402
0.21608
0.26633
0.09045
0.10553
0.23116
0.22613
0.35176
0.43216
0.31156
0.13065
0.25126
