RA,DEC,COADD_OBJECT_ID,DNF_ZMC_MOF,DNF_ZMC_SOF,DNF_ZMEAN_MOF,DNF_ZMEAN_SOF,DNF_ZSIGMA_MOF,DNF_ZSIGMA_SOF,EXTENDED_CLASS_MASH_SOF,FLAGS_FOOTPRINT,FLAGS_FOREGROUND,FLAGS_GOLD,SOF_CM_MAG_CORRECTED_G,SOF_CM_MAG_CORRECTED_I,SOF_CM_MAG_CORRECTED_R,SOF_CM_MAG_CORRECTED_Z,SOURCE,Z,ERR_Z,GminusR,GminusI,GminusZ,RminusI,RminusZ,IminusZ,C:objID
33.836029,-4.713906,92319109,0.29223999,0.29223999,0.29223999,0.29223999,0.001,0.001,3,1,0,0,20.55120637,19.12674214,19.55105463,18.86285211,GAMA,0.29224,-9.999,1.00015174,1.42446423,1.68835426,0.42431249,0.68820252,0.26389003,
35.280429,-5.681067,112103018,0.159766,0.159766,0.28594473,0.2823599,0.02006106,0.01708191,3,1,0,0,20.31879813,18.94885011,19.28807798,18.65803873,GAMA,0.37996,-9.999,1.03072015,1.36994802,1.6607594,0.33922787,0.63003925,0.29081138,
34.51203,-4.855306,101810693,0.154516,0.154516,0.13420099,0.13753329,0.01569961,0.02287186,3,1,0,0,18.73081263,17.93405301,18.21767153,17.80781534,GAMA,0.09896,-9.999,0.5131411,0.79675962,0.92299729,0.28361852,0.40985619,0.12623767,
33.829028,-4.717652,92319295,0.29194,0.29194,0.29194,0.29194,0.001,0.001,3,1,0,0,20.97580341,19.02112226,19.52135228,18.71263447,GAMA,0.29194,-9.999,1.45445113,1.95468115,2.26316894,0.50023002,0.80871781,0.30848779,
33.849142,-4.658974,92314333,0.14894,0.14894,0.15007287,0.1513287,0.01238642,0.00906497,3,1,0,0,19.61660474,18.03013859,18.53240972,17.66586546,GAMA,0.13751,-9.999,1.08419502,1.58646615,1.95073928,0.50227113,0.86654426,0.36427313,
34.136443,-4.635142,92315597,0.25218001,0.25218001,0.25218001,0.25218001,0.001,0.001,3,1,0,0,19.49513559,17.67943121,18.12726976,17.40577261,GAMA,0.25218,-9.999,1.36786583,1.81570438,2.08936298,0.44783855,0.72149715,0.2736586,
34.280765,-4.284982,101120115,0.15237001,0.15237001,0.15237001,0.15237001,0.001,0.001,3,1,0,0,20.10135312,18.71525614,19.07468887,18.42240988,GAMA,0.15237,-9.999,1.02666425,1.38609698,1.67894324,0.35943273,0.65227899,0.29284626,
34.804023,-5.224717,101828077,0.14137,0.13808,0.24370196,0.2448563,0.00915079,0.00930735,3,1,0,0,20.40554476,19.11886895,19.49561181,18.87823747,GAMA,0.1786,-9.999,0.90993295,1.28667581,1.52730729,0.37674286,0.61737434,0.24063148,
33.749386,-4.216961,93867822,0.192186,0.181867,0.22531261,0.22273466,0.01094544,0.01142866,3,1,0,0,20.08522956,18.52321275,18.94490608,18.24899253,GAMA,0.19771,-9.999,1.14032348,1.56201681,1.83623703,0.42169333,0.69591355,0.27422022,
34.421208,-5.635598,151941760,0.32407001,0.32407001,0.32407001,0.32407001,0.001,0.001,3,1,0,0,20.74383598,18.85581916,19.33440683,18.57315264,GAMA,0.32407,-9.999,1.40942915,1.88801682,2.17068334,0.47858767,0.76125419,0.28266652,
